# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.00013645343	0.00016639437	0.00012306812	0	0	0
0	0.08715182	9.4756055e-05	0.00012309864	0.001	0	0
0	0.17313738	6.9726426e-05	0.00012318333	0.002	0	0
0	0.25634718	6.7417204e-05	0.00012332658	0.002999999	0	0
0	0.33548805	7.7101344e-05	0.00012353309	0.004	0	0
0	0.4093358	9.3990304e-05	0.0001237972	0.0049999994	0	0
0	0.47698557	0.0001168631	0.00012413292	0.005999998	0	0
0	0.5377371	0.00014745319	0.00012454348	0.0069999998	0	0
0	0.59125096	0.00018964065	0.00012502492	0.008	0	0
0	0.6374222	0.00024257542	0.00012556846	0.009000002	0	0
0	0.676767	0.0003105012	0.00012616967	0.009999999	0	0
0	0.7099395	0.00038882616	0.00012681364	0.0110000055	0	0
0	0.73787403	0.0004729719	0.00012748214	0.011999996	0	0
0	0.76147765	0.0005558278	0.00012817797	0.013000003	0	0
0	0.7816428	0.00063180376	0.00012886843	0.0139999995	0	0
0	0.7970284	0.00063994137	0.00012940964	0.014999993	0	0
0	0.9479521	3.442671e-05	0	0.016	0	0
0	0.94995856	3.3748373e-05	0	0.016999999	0	0
0	0.9518334	3.290495e-05	0	0.018000005	0	0
0	0.9535898	3.2099073e-05	0	0.018999996	0	0
0	0.9552384	3.1337302e-05	0	0.019999998	0	0
0	0.9567891	3.060328e-05	0	0.021000009	0	0
0	0.9582504	2.9906601e-05	0	0.022000011	0	0
0	0.95963025	2.9238334e-05	0	0.023	0	0
0	0.9609354	2.8597831e-05	0	0.023999993	0	0
0	0.9621716	2.7984846e-05	0	0.024999993	0	0
0	0.96334445	2.739871e-05	0	0.026000006	0	0
0	0.9644587	2.6834503e-05	0	0.027000008	0	0
0	0.96551883	2.6294372e-05	0	0.027999999	0	0
0	0.96652865	2.5777626e-05	0	0.028999986	0	0
0	0.96749175	2.5278314e-05	0	0.029999986	0	0
0	0.9684117	2.4801484e-05	0	0.031000005	0	0
0	0.9692911	2.4342327e-05	0	0.032	0	0
0	0.9701327	2.3900066e-05	0	0.032999996	0	0
0	0.97093904	2.347715e-05	0	0.033999998	0	0
0	0.9717127	2.3068169e-05	0	0.035000008	0	0
0	0.9724555	2.2677457e-05	0	0.03600001	0	0
0	0.97316945	2.2303e-05	0	0.036999997	0	0
0	0.97385645	2.194412e-05	0	0.03799999	0	0
0	0.97451836	2.1601198e-05	0	0.039	0	0
0	0.97515696	2.127629e-05	0	0.039999995	0	0
0	0.9757739	2.0970365e-05	0	0.041000005	0	0
0	0.9763708	2.0688596e-05	0	0.042000018	0	0
0	0.97694993	2.0438863e-05	0	0.04299999	0	0
0	0.977514	2.0243177e-05	0	0.044000022	0	0
0	0.97806793	2.0176012e-05	0	0.04499999	0	0
0	0.9786283	2.0755564e-05	0	0.046	0	0
0	0.9791769	2.1489293e-05	0	0.047000017	0	0
0	0.9796488	2.1823857e-05	0	0.047999986	0	0
0	0.98010993	2.2244458e-05	0	0.049000017	0	0
0	0.9805616	2.2790111e-05	0	0.049999986	0	0
0	0.9810053	2.3461624e-05	0	0.051	0	0
0	0.9814364	2.4202884e-05	0	0.052000012	0	0
0	0.98287994	2.862902e-05	0	0.052999977	0	0
0	0.98318565	2.8211434e-05	0	0.054000016	0	0
0	0.9834838	2.7797778e-05	0	0.05499998	0	0
0	0.9837748	2.7377268e-05	0	0.055999998	0	0
0	0.98405874	2.6967693e-05	0	0.057000015	0	0
