# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.00013552827	0.00016627082	0.00012306814	0	0	0
0	1.3079494e-05	0.12302706	0.00012292211	0	0.001	0
0	2.0358246e-05	0.18847458	0.00012266045	0	0.002	0
0	2.6250025e-05	0.2412185	0.00012241585	0	0.002999999	0
0	3.141607e-05	0.28776503	0.00012221473	0	0.004	0
0	3.6016223e-05	0.33026862	0.000122059864	0	0.0049999994	0
0	4.011189e-05	0.36979932	0.00012195401	0	0.005999998	0
0	4.3770764e-05	0.40698376	0.00012189587	0	0.0069999998	0
0	4.7039473e-05	0.44217882	0.000121879	0	0.008	0
0	4.9887225e-05	0.47562224	0.00012190729	0	0.009000002	0
0	5.230942e-05	0.50743407	0.00012197584	0	0.009999999	0
0	5.4277014e-05	0.53768474	0.00012208798	0	0.0110000055	0
0	5.582685e-05	0.56638515	0.000122239	0	0.011999996	0
0	5.7002762e-05	0.5934849	0.00012242922	0	0.013000003	0
0	5.7760626e-05	0.61894286	0.00012266547	0	0.0139999995	0
0	5.821651e-05	0.6427323	0.00012294334	0	0.014999993	0
0	5.844864e-05	0.6648864	0.00012326604	0	0.016	0
0	5.852687e-05	0.6855149	0.00012362874	0	0.016999999	0
0	5.8573438e-05	0.7047801	0.00012404009	0	0.018000005	0
0	6.0243998e-05	0.7232241	0.00012450053	0	0.018999996	0
0	6.3013285e-05	0.8606625	0	0	0.019999998	0
0	6.0259597e-05	0.8681784	0	0	0.021000009	0
0	5.7760626e-05	0.8748605	0	0	0.022000011	0
0	5.5470853e-05	0.88087666	0	0	0.023	0
0	5.3360563e-05	0.88634163	0	0	0.023999993	0
0	5.1405514e-05	0.89134127	0	0	0.024999993	0
0	4.9591064e-05	0.8959408	0	0	0.026000006	0
0	4.789303e-05	0.9001906	0	0	0.027000008	0
0	4.631339e-05	0.90413266	0	0	0.027999999	0
0	4.483154e-05	0.9078024	0	0	0.028999986	0
0	4.3440145e-05	0.9112282	0	0	0.029999986	0
0	4.2130792e-05	0.9144349	0	0	0.031000005	0
0	4.0895102e-05	0.9174436	0	0	0.032	0
0	3.9730687e-05	0.9202732	0	0	0.032999996	0
0	3.863327e-05	0.9229399	0	0	0.033999998	0
0	3.759074e-05	0.92545784	0	0	0.035000008	0
0	3.660214e-05	0.9278395	0	0	0.03600001	0
0	3.5671284e-05	0.9300962	0	0	0.036999997	0
0	3.478513e-05	0.93223774	0	0	0.03799999	0
0	3.394435e-05	0.93427265	0	0	0.039	0
0	3.3144723e-05	0.93621004	0	0	0.039999995	0
0	3.238744e-05	0.93805635	0	0	0.041000005	0
0	3.1674863e-05	0.9398185	0	0	0.042000018	0
0	3.0994706e-05	0.9415029	0	0	0.04299999	0
0	3.0360621e-05	0.9431152	0	0	0.044000022	0
0	2.9776478e-05	0.9446611	0	0	0.04499999	0
0	2.925191e-05	0.9461461	0	0	0.046	0
0	2.8841197e-05	0.94757676	0	0	0.047000017	0
0	2.8746435e-05	0.94896466	0	0	0.047999986	0
0	3.1137373e-05	0.9503542	0	0	0.049000017	0
0	3.1665404e-05	0.9515939	0	0	0.049999986	0
0	3.2590004e-05	0.9527864	0	0	0.051	0
0	3.4046563e-05	0.9539441	0	0	0.052000012	0
0	3.588479e-05	0.9550568	0	0	0.052999977	0
0	3.9711333e-05	0.9562863	0	0	0.054000016	0
0	7.534754e-05	0.957914	0	0	0.05499998	0
0	7.411097e-05	0.9587989	0	0	0.055999998	0
0	7.2892144e-05	0.9596566	0	0	0.057000015	0
0	7.1696566e-05	0.96048856	0	0	0.057999972	0
0	7.054079e-05	0.96129584	0	0	0.05900001	0
0	6.9419155e-05	0.9620796	0	0	0.059999973	0
0	6.832095e-05	0.96284056	0	0	0.060999993	0
0	6.725404e-05	0.96358	0	0	0.06200001	0
0	6.621776e-05	0.9642986	0	0	0.062999986	0
0	6.5205975e-05	0.9649975	0	0	0.064	0
0	6.4223364e-05	0.9656772	0	0	0.06500003	0
0	6.326561e-05	0.9663385	0	0	0.06599999	0
0	6.2334155e-05	0.9669825	0	0	0.067000024	0
0	6.142638e-05	0.96760947	0	0	0.067999996	0
0	6.054248e-05	0.96822023	0	0	0.069	0
0	5.9680977e-05	0.9688153	0	0	0.070000015	0
0	5.8841684e-05	0.96939564	0	0	0.071	0
0	5.8026075e-05	0.96996135	0	0	0.07200002	0
0	5.7231264e-05	0.9705131	0	0	0.07299998	0
0	5.6456498e-05	0.9710515	0	0	0.07399999	0
0	5.570285e-05	0.971577	0	0	0.075000025	0
0	5.6513316e-05	0.97105205	0	0	0.07399999	0
0	5.734314e-05	0.9705137	0	0	0.07299998	0
0	5.818947e-05	0.9699619	0	0	0.07200002	0
0	5.905454e-05	0.9693962	0	0	0.071	0
0	5.9937895e-05	0.96881586	0	0	0.070000015	0
0	6.0840724e-05	0.9682207	0	0	0.069	0
0	6.176616e-05	0.96761	0	0	0.067999996	0
0	6.271314e-05	0.96698296	0	0	0.067000024	0
0	6.368426e-05	0.9663392	0	0	0.06599999	0
0	6.4677864e-05	0.9656776	0	0	0.06500003	0
0	6.5696375e-05	0.96499795	0	0	0.064	0
0	6.6743356e-05	0.9642991	0	0	0.062999986	0
0	6.782017e-05	0.96358055	0	0	0.06200001	0
0	6.8925285e-05	0.96284103	0	0	0.060999993	0
0	7.006275e-05	0.96208	0	0	0.059999973	0
0	7.123495e-05	0.9612963	0	0	0.05900001	0
0	7.2441995e-05	0.96048903	0	0	0.057999972	0
0	7.368765e-05	0.9596571	0	0	0.057000015	0
0	7.497212e-05	0.95879936	0	0	0.055999998	0
0	7.62993e-05	0.9579144	0	0	0.05499998	0
0	7.767328e-05	0.9570012	0	0	0.054000016	0
0	7.909073e-05	0.9560582	0	0	0.052999977	0
0	8.056037e-05	0.95508397	0	0	0.052000012	0
0	8.20795e-05	0.954077	0	0	0.051	0
0	8.366305e-05	0.9530357	0	0	0.049999986	0
0	8.5301865e-05	0.951958	0	0	0.049000017	0
0	8.700896e-05	0.95084214	0	0	0.047999986	0
0	8.877992e-05	0.9496862	0	0	0.047000017	0
0	9.062839e-05	0.9484879	0	0	0.046	0
0	9.2556016e-05	0.94724464	0	0	0.04499999	0
0	9.4569055e-05	0.94595426	0	0	0.044000022	0
0	9.667367e-05	0.9446138	0	0	0.04299999	0
0	9.8876895e-05	0.94322014	0	0	0.042000018	0
0	0.00010118823	0.94177043	0	0	0.041000005	0
0	0.00010361016	0.9402612	0	0	0.039999995	0
0	0.00010616165	0.9386884	0	0	0.039	0
0	0.00010883862	0.9370485	0	0	0.03799999	0
0	0.00011167296	0.9353361	0	0	0.036999997	0
0	0.00011465688	0.9335474	0	0	0.03600001	0
0	0.00011781289	0.9316767	0	0	0.035000008	0
0	0.00012116619	0.929718	0	0	0.033999998	0
0	0.00012473058	0.9276653	0	0	0.032999996	0
0	0.00012852676	0.9255116	0	0	0.032	0
0	0.00013257613	0.923249	0	0	0.031000005	0
0	0.00013689417	0.92086947	0	0	0.029999986	0
0	0.00014153248	0.9183628	0	0	0.028999986	0
0	0.00014654789	0.9157187	0	0	0.027999999	0
0	0.00015192483	0.9129263	0	0	0.027000008	0
0	0.0001577631	0.90997124	0	0	0.026000006	0
0	0.00016412785	0.9068392	0	0	0.024999993	0
0	0.00017104267	0.903514	0	0	0.023999993	0
0	0.00017857533	0.89997625	0	0	0.023	0
0	0.0001868305	0.8962041	0	0	0.022000011	0
0	0.00019598907	0.8921725	0	0	0.021000009	0
0	0.00020614541	0.88785374	0	0	0.019999998	0
0	0.00021751343	0.8832141	0	0	0.018999996	0
0	0.00023035321	0.8782151	0	0	0.018000005	0
0	0.00024498312	0.87281126	0	0	0.016999999	0
0	0.00026184757	0.866948	0	0	0.016	0
0	0.00028143878	0.8605609	0	0	0.014999993	0
0	0.0003047497	0.8535681	0	0	0.0139999995	0
0	0.0003329052	0.84586835	0	0	0.013000003	0
0	0.00036793147	0.8373221	0	0	0.011999996	0
0	0.00041434198	0.8277155	0	0	0.0110000055	0
0	0.0004786379	0.81666666	0	0	0.009999999	0
0	0.00056719384	0.8032193	0	0	0.009000002	0
0	0.0006446728	0.7856295	0	0	0.008	0
0	0.00026803085	0.62300867	0	0	0.0069999998	0
0	0.00017276505	0.59699416	0	0	0.005999998	0
0	0.00013074302	0.5703155	0	0	0.0049999994	0
0	0.00010934635	0.5430227	0	0	0.004	0
0	9.642402e-05	0.5151553	0	0	0.002999999	0
0	8.748751e-05	0.48675215	0	0	0.002	0
0	8.025393e-05	0.45784292	0	0	0.001	0
0	7.3835836e-05	0.42846456	0	0	-6.2450045e-17	0
0	6.767991e-05	0.39864337	0	0	-0.001	0
0	6.1685685e-05	0.36840424	0	0	-0.002	0
0	5.553034e-05	0.33778566	0	0	-0.002999999	0
0	4.89261e-05	0.30680847	0	0	-0.004	0
0	4.2025757e-05	0.2755011	0	0	-0.0049999994	0
0	3.4563272e-05	0.24389078	0	0	-0.005999998	0
0	2.6491965e-05	0.21200804	0	0	-0.0069999998	0
0	1.7945684e-05	0.1798809	0	0	-0.008	0
0	8.580391e-06	0.1475322	0	0	-0.009000002	0
0	-1.5757978e-06	0.11499745	0	0	-0.009999999	0
0	-1.2661272e-05	0.082298934	0	0	-0.0110000055	0
0	-2.4585752e-05	0.04947033	0	0	-0.011999996	0
0	-3.760052e-05	0.016535645	0	0	-0.013000003	0
0	-5.1777577e-05	-0.016473766	0	0	-0.0139999995	0
0	-6.66643e-05	-0.049527362	0	0	-0.014999993	0
0	-8.267001e-05	-0.082600705	0	0	-0.016	0
0	-9.9521305e-05	-0.11566169	0	0	-0.016999999	0
0	-0.0001168836	-0.14868103	0	0	-0.018000005	0
0	-0.00013309647	-0.18162717	0	0	-0.018999996	0
0	-0.0001498838	-0.21448539	0	0	-0.019999998	0
0	-0.00016472046	-0.24722296	0	0	-0.021000009	0
0	-0.00017805988	-0.27984315	0	0	-0.022000011	0
0	-0.00018973288	-0.31241873	0	0	-0.023	0
0	-0.00018054602	-0.34400716	0	0	-0.023999993	0
0	-0.00020237744	-0.47136402	0	0	-0.024999993	0
0	-0.00019539258	-0.50159496	0	0	-0.026000006	0
0	-0.00017697341	-0.5311246	0	0	-0.027000008	0
0	-0.00014693127	-0.5599126	0	0	-0.027999999	0
0	-0.000105516665	-0.58794695	0	0	-0.028999986	0
0	-5.3305062e-05	-0.6153782	2.7320956e-26	0	-0.029999986	0
0	-4.2115687e-05	-0.9144345	0	0	-0.031000005	0
0	-4.0890183e-05	-0.9174435	0	0	-0.032	0
0	-3.9727427e-05	-0.9202732	0	0	-0.032999996	0
0	-3.8630096e-05	-0.9229397	0	0	-0.033999998	0
0	-3.758684e-05	-0.9254579	0	0	-0.035000008	0
0	-3.659958e-05	-0.92783946	0	0	-0.03600001	0
0	-3.5666395e-05	-0.93009615	0	0	-0.036999997	0
0	-3.4780533e-05	-0.93223757	0	0	-0.03799999	0
0	-3.393879e-05	-0.9342729	0	0	-0.039	0
0	-3.3141812e-05	-0.93621004	0	0	-0.039999995	0
0	-3.238558e-05	-0.93805647	0	0	-0.041000005	0
0	-3.1668693e-05	-0.93981856	0	0	-0.042000018	0
0	-3.099325e-05	-0.9415029	0	0	-0.04299999	0
0	-3.0359253e-05	-0.9431153	0	0	-0.044000022	0
0	-2.9774616e-05	-0.944661	0	0	-0.04499999	0
0	-2.925354e-05	-0.94614595	0	0	-0.046	0
0	-2.8840033e-05	-0.9475767	0	0	-0.047000017	0
0	-2.8738752e-05	-0.94896454	0	0	-0.047999986	0
0	-3.1136675e-05	-0.9503543	0	0	-0.049000017	0
0	-3.166427e-05	-0.9515939	0	0	-0.049999986	0
0	-3.272749e-05	-0.952799	0	0	-0.051	0
0	-3.4151133e-05	-0.9539382	0	0	-0.052000012	0
0	-3.6017038e-05	-0.95505714	0	0	-0.052999977	0
0	-7.676998e-05	-0.95700073	0	0	-0.054000016	0
0	-7.551347e-05	-0.957914	0	0	-0.05499998	0
0	-7.425901e-05	-0.9587989	0	0	-0.055999998	0
0	-7.30234e-05	-0.95965654	0	0	-0.057000015	0
0	-7.181808e-05	-0.96048844	0	0	-0.057999972	0
