# t (s)	mx ()	my ()	mz ()
0	0.96672744	0.12570682	0
5.318772529132787e-12	0.96592444	0.12846282	-0.0067194216
1.0298011069297657e-11	0.9637539	0.1357252	-0.012877504
1.511798539348478e-11	0.9602546	0.14691234	-0.018689001
2.0128042659863184e-11	0.9550056	0.16266195	-0.02454203
2.5039799286351005e-11	0.94807225	0.18191646	-0.030060202
3.020798570967691e-11	0.938634	0.20590381	-0.03559159
3.50828657937561e-11	0.9275009	0.23165561	-0.040514637
4.0228573492077975e-11	0.91318965	0.2616798	-0.04536814
4.5116896984480354e-11	0.8969968	0.29245523	-0.049631678
5.003800787435636e-11	0.8780189	0.32519642	-0.053576093
5.5211670038262406e-11	0.8550862	0.3610272	-0.05735862
6.010594159765162e-11	0.8305325	0.39580366	-0.060623277
6.500000205439219e-11	0.8031756	0.43102437	-0.06363047
7.011467108369061e-11	0.7715722	0.46790293	-0.06656564
7.518359119520771e-11	0.73719007	0.5041374	-0.06934832
8.02477074132153e-11	0.69975144	0.53965956	-0.07209895
8.504942084972145e-11	0.66132694	0.572391	-0.074776284
9.016142716918052e-11	0.6171634	0.6058605	-0.07781288
9.500649564634143e-11	0.5720428	0.6358987	-0.08097939
1.0014637456211515e-10	0.5204806	0.66550106	-0.084769584
1.0500694288247411e-10	0.46798027	0.690817	-0.08887455
1.101537685036113e-10	0.4081655	0.7140756	-0.093877114
1.1501359543444295e-10	0.34750968	0.73188746	-0.0992802
1.201326210855726e-10	0.2791581	0.7452977	-0.105683945
1.2524234241226513e-10	0.20650871	0.75211906	-0.11271086
1.3007498800884632e-10	0.13411452	0.7515791	-0.11976427
1.3518081392265826e-10	0.05440374	0.7428054	-0.12738931
1.4026771958143449e-10	-0.027431967	0.7251536	-0.13487639
1.450738641228994e-10	-0.106093556	0.7001217	-0.1416116
1.5017385945006524e-10	-0.19005454	0.6647519	-0.14820226
1.5500387930829337e-10	-0.26916254	0.6231064	-0.15378784
1.6013024211690077e-10	-0.3516764	0.5705416	-0.1589189
1.6526522365592737e-10	-0.43163204	0.5096326	-0.16313621
1.7011903957875842e-10	-0.50347704	0.44494063	-0.16614631
1.7525653822602312e-10	-0.57427	0.36968166	-0.16811006
1.801054822799547e-10	-0.6352124	0.2931302	-0.16861391
1.852333527917425e-10	-0.69286686	0.20729487	-0.16751952
1.9006621892488943e-10	-0.74044454	0.12256559	-0.16477151
1.9517458342984138e-10	-0.78304946	0.029797332	-0.15981989
2.0026846242372428e-10	-0.8167305	-0.064759634	-0.15249416
2.0506693677124093e-10	-0.83925354	-0.1539243	-0.14311977
2.101368479535847e-10	-0.8519631	-0.24542026	-0.13030627
2.1520067389538358e-10	-0.8520122	-0.32995033	-0.11428158
2.2026596985293105e-10	-0.83908284	-0.40211728	-0.095087
2.2505596533477358e-10	-0.81668025	-0.45346138	-0.074756406
2.3013366368931314e-10	-0.78653497	-0.48586705	-0.05243159
2.352172682663003e-10	-0.7550385	-0.49495748	-0.030928945
2.4002342432936143e-10	-0.7276726	-0.4840958	-0.01236394
2.4511759247259556e-10	-0.7032799	-0.45544603	0.005009684
2.50217656307193e-10	-0.68437564	-0.41315898	0.019966697
2.550410351604983e-10	-0.6714478	-0.36438993	0.031914275
2.601524113032165e-10	-0.6624196	-0.3074086	0.042227775
2.652649174679269e-10	-0.6575911	-0.24925552	0.050115086
2.7009428054115845e-10	-0.65639335	-0.19703388	0.05551223
2.752078726179987e-10	-0.65827566	-0.14756286	0.059497118
2.800365738244613e-10	-0.66295904	-0.10767854	0.062132917
2.8514587557996856e-10	-0.6717982	-0.072979055	0.06425268
2.9025707575674436e-10	-0.68700415	-0.045658026	0.06607581
2.9508811538915207e-10	-0.7096821	-0.025719741	0.0676839
3.0020428462743224e-10	-0.7433076	-0.008953159	0.06934325
3.050163076574353e-10	-0.7826503	0.0054973545	0.07099329
3.1010285674946543e-10	-0.8292308	0.023813061	0.07299027
3.1518994407772974e-10	-0.875655	0.0503992	0.07508174
3.2027702474112063e-10	-0.9140859	0.08842004	0.07651773
3.25081961878488e-10	-0.9346632	0.1334592	0.0763366
3.3016813776617016e-10	-0.93289804	0.18416263	0.07389721
3.3524632714599553e-10	-0.9066682	0.2285957	0.06926451
