# t (s)	mx ()	my ()	mz ()
0	-8.544922e-09	5.645752e-09	0.027469978
5.094891004354656e-12	-0.00010314331	0.006506991	0.027469913
1.0161506801119625e-11	-0.00025665466	0.012668723	0.027469695
1.5047275668759553e-11	-0.0004755188	0.018266266	0.027469106
2.0091495042982918e-11	-0.00079561706	0.023677377	0.02746743
2.5134135420556496e-11	-0.0012306665	0.028730115	0.027463002
3.015958097837849e-11	-0.0017973853	0.03345653	0.027454372
3.5025069503645296e-11	-0.002488936	0.037797995	0.027440855
4.005129368745721e-11	-0.0033646428	0.042110145	0.027420312
4.507332976677593e-11	-0.0044138418	0.04631387	0.027392397
5.009653642409176e-11	-0.0056434874	0.050470274	0.02735683
5.5120483660864583e-11	-0.007053783	0.054617997	0.027313413
6.014492335212826e-11	-0.008639364	0.058785863	0.027262349
6.500770376308695e-11	-0.01033115	0.06285843	0.027206564
7.003281712844672e-11	-0.012228623	0.06711966	0.02714417
7.5056198912283e-11	-0.014261847	0.07143807	0.02707956
8.007666437706232e-11	-0.016414985	0.07581164	0.027015686
8.509711973655962e-11	-0.01867559	0.0802384	0.026955124
9.011766272200216e-11	-0.021032574	0.08471374	0.026899634
9.513813590767797e-11	-0.023477033	0.089231044	0.026849946
1.0015852538811781e-10	-0.026001636	0.09377872	0.026805932
1.0501691272583878e-10	-0.028514639	0.09819176	0.026768042
1.1003700799985693e-10	-0.031176459	0.102741115	0.02673263
1.1505666493926359e-10	-0.03389648	0.107250586	0.026699673
1.200761352679522e-10	-0.036666363	0.11168726	0.026667766
1.2509527560720788e-10	-0.039477717	0.11601551	0.026635692
1.3011412633216859e-10	-0.04232355	0.12020104	0.026602412
1.3513271868941004e-10	-0.045199394	0.1242149	0.026566792
1.401510154884805e-10	-0.04810419	0.12803721	0.026527315
1.45007332713976e-10	-0.050945748	0.13154517	0.026483567
1.500253719062653e-10	-0.0539203	0.134974	0.026430381
1.550432884653472e-10	-0.056944195	0.13821475	0.026366765
1.6006122573653009e-10	-0.060030375	0.14128704	0.02629075
1.6507906868497768e-10	-0.06319232	0.14421618	0.026201256
1.7009696797257562e-10	-0.06644259	0.14703046	0.026098518
1.751149306702048e-10	-0.0697909	0.1497577	0.025984293
1.801328998227482e-10	-0.07324298	0.15242295	0.025861796
1.8515093611205606e-10	-0.07679993	0.15504648	0.025735388
1.9000710637042075e-10	-0.08033859	0.15755907	0.025614008
1.9502527995526097e-10	-0.08408744	0.16013554	0.025494399
2.0004361945950097e-10	-0.08791918	0.16269228	0.025384957
2.0506193700013634e-10	-0.091820605	0.16522357	0.025288753
2.1008038843329727e-10	-0.09577801	0.16771893	0.025207216
2.1509888610268145e-10	-0.09977784	0.17016464	0.025139973
2.2011754261540128e-10	-0.10380794	0.1725458	0.025084952
2.251362072315396e-10	-0.107857645	0.17484738	0.025038721
2.301548225799614e-10	-0.11191832	0.17705555	0.024997
2.3501151234398445e-10	-0.11585212	0.17909229	0.024956677
2.4003034016166114e-10	-0.1199166	0.18108389	0.024911024
2.450490937183484e-10	-0.12397689	0.18295285	0.024858078
2.5006779754930747e-10	-0.12803084	0.18469338	0.02479577
2.550865254203983e-10	-0.13207768	0.18630138	0.024723377
2.6010535957748e-10	-0.13611774	0.18777464	0.024641404
2.651241588157836e-10	-0.14015238	0.18911254	0.024551287
2.7014306165072374e-10	-0.14418405	0.19031636	0.02445497
2.7516186465766266e-10	-0.14821568	0.19138917	0.024354467
2.800187605730468e-10	-0.15212071	0.192307	0.024254868
2.8503747400239656e-10	-0.15616295	0.19313681	0.024150772
2.900560994705309e-10	-0.1602158	0.19385305	0.024046214
2.9507485384389175e-10	-0.16428219	0.19446312	0.023941495
3.000934989070821e-10	-0.16836381	0.19497441	0.023836687
3.0511212240281805e-10	-0.17246145	0.19539365	0.023731846
3.101306438550943e-10	-0.17657435	0.19572665	0.023627227
3.15149085524596e-10	-0.18070063	0.19597791	0.02352341
3.200056056262073e-10	-0.18470344	0.19614619	0.023424573
3.250240065342583e-10	-0.18884535	0.19624437	0.023325281
3.300423156421983e-10	-0.19298749	0.19626616	0.023230126
3.350606550704118e-10	-0.19712363	0.19621092	0.023140283
3.400789256483688e-10	-0.20124678	0.1960775	0.023056628
3.450970470669171e-10	-0.20534953	0.195864	0.022979593
3.50115409988921e-10	-0.20942496	0.19556828	0.022909062
3.5513337321277964e-10	-0.21346541	0.19518796	0.022844395
3.6015159512509087e-10	-0.21746506	0.19472042	0.02278445
3.6500766102359215e-10	-0.2212911	0.19418238	0.022729527
3.700258180608066e-10	-0.22519472	0.19353539	0.022674311
3.7504372416582095e-10	-0.22904412	0.19279326	0.022618962
3.800615313699907e-10	-0.23283763	0.19195373	0.02256187
3.850794560567958e-10	-0.23657514	0.19101489	0.022501716
3.9009738344387093e-10	-0.24025743	0.18997565	0.022437548
3.95113564930104e-10	-0.24388519	0.18883616	0.022368848
4.0012961695312225e-10	-0.24746235	0.18759678	0.022295464
4.0514587931411687e-10	-0.25099212	0.18625914	0.022217661
4.100000177540276e-10	-0.2543655	0.18487379	0.022138733
4.150162429913985e-10	-0.2578106	0.18335152	0.022054253
4.200325051629936e-10	-0.2612162	0.18174121	0.02196788
4.2504866593895256e-10	-0.2645836	0.18004748	0.021880835
4.3006495397428147e-10	-0.2679133	0.17827508	0.02179442
4.3508125640300484e-10	-0.27120465	0.1764289	0.021709949
4.400975711312966e-10	-0.27445585	0.1745136	0.021628704
4.45113947699532e-10	-0.27766436	0.17253342	0.021551859
4.501302863460458e-10	-0.2808268	0.17049223	0.021480422
4.5514657080140515e-10	-0.28393918	0.16839331	0.021415185
4.600011982918702e-10	-0.28689966	0.16630942	0.021358442
4.6501776095901e-10	-0.28990138	0.16410357	0.021306615
4.70034280943975e-10	-0.29284036	0.16184574	0.021261597
4.750509373282138e-10	-0.29571292	0.15953653	0.021222934
4.800675650686235e-10	-0.29851553	0.1571763	0.021189867
4.850839864281494e-10	-0.30124536	0.15476494	0.021161357
4.901005172305406e-10	-0.3039006	0.15230186	0.021136189
4.951170751223392e-10	-0.3064798	0.14978658	0.021113044
5.001337643278821e-10	-0.30898243	0.14721853	0.021090625
5.05150457246935e-10	-0.31140834	0.14459743	0.021067739
5.1000525367645e-10	-0.3136834	0.14201039	0.021044225
5.150219070735764e-10	-0.31595993	0.13928525	0.021017818
5.200385519193469e-10	-0.31816196	0.13650821	0.020988863
5.250550541999501e-10	-0.3202906	0.13368067	0.020957258
5.300718000353515e-10	-0.32234713	0.13080414	0.020923188
5.350885461817533e-10	-0.32433268	0.12788099	0.020887095
